                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.80438,                0.92368,                0.80301,                0.97223,                 0.9567,                0.90625,                0.96519,                0.78651,                 0.9567,                0.90625,                0.96646,                 0.7609,                 0.7408,                0.85002,                0.67123,                0.96023,               0.001208,               0.001208,               0.001208
                     26,                0.81945,                 1.0167,                0.82807,                0.96613,                0.93469,                0.92188,                0.95787,                0.77059,                0.93469,                0.92188,                0.96179,                0.75106,                0.76764,                0.88928,                0.71108,                  0.952,               0.001175,               0.001175,               0.001175
                     27,                0.79479,                 0.9919,                0.80165,                0.96426,                0.89369,                0.92188,                0.93621,                0.75553,                0.89369,                0.92188,                0.93879,                0.76578,                0.71116,                0.79167,                0.70636,                0.92945,               0.001142,               0.001142,               0.001142
                     28,                0.75218,                0.92828,                0.72078,                0.95326,                0.93054,                0.92188,                0.95438,                0.80499,                0.93054,                0.92188,                0.95438,                0.80405,                0.63885,                0.77877,                0.65134,                0.91538,               0.001109,               0.001109,               0.001109
                     29,                0.76535,                0.91026,                0.70699,                 0.9413,                0.92303,                0.93684,                0.95797,                0.79741,                0.92303,                0.93684,                0.95797,                0.78736,                 0.6625,                0.76562,                0.66062,                0.91046,               0.001076,               0.001076,               0.001076
                     30,                0.74874,                 0.9196,                0.69459,                0.94336,                0.97868,                0.89062,                 0.9683,                0.81304,                0.97868,                0.89062,                 0.9625,                0.80017,                0.64426,                0.71435,                 0.6614,                0.90222,               0.001043,               0.001043,               0.001043
                     31,                0.73315,                0.86181,                0.71686,                0.94265,                0.98327,                0.91823,                0.97343,                0.80335,                0.98327,                0.91823,                0.97343,                0.79555,                0.69609,                0.73157,                0.64374,                0.92477,                0.00101,                0.00101,                0.00101
                     32,                0.73085,                0.85747,                0.64637,                0.94535,                0.96709,                0.91825,                0.96883,                0.79699,                0.96709,                0.91825,                0.96883,                0.80195,                0.69454,                0.71213,                0.63448,                 0.9215,               0.000977,               0.000977,               0.000977
                     33,                0.77729,                0.89642,                0.70284,                0.95734,                 0.9523,                0.93583,                0.96533,                0.81171,                 0.9523,                0.93583,                0.96533,                0.80523,                0.64355,                0.71033,                0.60503,                0.89999,               0.000944,               0.000944,               0.000944
                     34,                0.72081,                0.86493,                0.67107,                 0.9324,                0.95101,                 0.9375,                0.97021,                0.82648,                0.95101,                 0.9375,                0.97021,                 0.8128,                0.63705,                0.69376,                  0.611,                0.90102,               0.000911,               0.000911,               0.000911
                     35,                0.70191,                0.89144,                0.65463,                0.92779,                0.96698,                 0.9153,                 0.9741,                0.81744,                0.96698,                 0.9153,                0.97491,                0.81707,                0.66855,                0.72406,                0.60787,                0.90679,               0.000878,               0.000878,               0.000878
                     36,                0.66785,                0.83082,                0.63382,                0.90931,                0.96653,                0.90239,                0.97389,                0.82532,                0.96653,                0.90239,                0.97389,                0.78811,                0.63479,                0.71565,                0.57431,                0.91425,               0.000845,               0.000845,               0.000845
                     37,                0.72249,                0.91731,                0.65188,                0.91474,                0.96713,                0.91946,                0.96639,                0.82473,                0.96713,                0.91946,                0.96871,                 0.8104,                0.63468,                0.71213,                0.59811,                 0.9147,               0.000812,               0.000812,               0.000812
                     38,                0.69601,                0.85521,                0.67109,                 0.9148,                0.96701,                0.91595,                0.96902,                0.81134,                0.96701,                0.91595,                0.97148,                0.81298,                0.63964,                0.70673,                0.57987,                 0.9066,               0.000779,               0.000779,               0.000779
