                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2875,                 1.8392,                 2.1137,                 1.1038,                0.73222,                0.58889,                 0.6571,                0.45438,                0.73483,                0.57778,                0.63996,                0.41323,                 1.2559,                 1.8432,                 1.4948,                 1.0531,             0.00066362,             0.00066362,             0.00066362
                      2,                 1.3473,                 1.7714,                  1.546,                 1.1229,                0.65728,                0.59666,                0.65696,                0.40915,                0.76874,                0.48017,                0.62369,                0.38543,                 1.3383,                 1.8158,                  1.482,                 1.0275,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.2964,                 1.6207,                 1.4434,                 1.1081,                0.68435,                0.66667,                0.69019,                0.43257,                0.67895,                0.65556,                0.67155,                 0.4255,                  1.356,                 1.8063,                 1.4113,                 1.0298,              0.0019574,              0.0019574,              0.0019574
                      4,                 1.3374,                 1.7178,                 1.3621,                 1.1165,                0.71942,                0.66111,                0.70523,                0.41596,                 0.6781,                0.62222,                0.66013,                0.38395,                   1.39,                  1.618,                 1.4048,                 1.0689,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3434,                 1.7071,                 1.3764,                  1.113,                0.62696,                0.53333,                0.60523,                0.40754,                0.61979,                0.52778,                0.59924,                 0.3892,                 1.4055,                  1.958,                 2.0978,                 1.0651,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3231,                 1.7051,                 1.4334,                 1.1221,                 0.8155,                0.63843,                0.75885,                0.47766,                0.78939,                0.58306,                0.70578,                0.45568,                 1.3015,                 1.7952,                 1.3169,                 1.0472,               0.001901,               0.001901,               0.001901
                      7,                 1.2539,                 1.5039,                 1.2681,                  1.088,                 0.8717,                0.67941,                0.81255,                0.53039,                0.82359,                0.64845,                0.74842,                 0.4409,                  1.271,                 1.5485,                 1.1695,                 1.0217,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2259,                 1.5127,                 1.2065,                 1.0796,                 0.7299,                0.69444,                0.69395,                0.43889,                0.72299,                  0.638,                0.68186,                0.42122,                  1.299,                 1.6132,                 1.3462,                 1.0159,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1916,                 1.4236,                 1.1684,                 1.0675,                0.75737,                0.71667,                0.75419,                0.47782,                0.73389,                0.69444,                0.72089,                0.44021,                 1.2049,                 1.6051,                 1.1722,                0.95638,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1972,                 1.5136,                 1.2179,                 1.0516,                0.82343,                0.72544,                0.79277,                0.55195,                0.78802,                0.67778,                0.74293,                 0.4957,                 1.1282,                 1.5646,                   1.01,                0.96268,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.136,                 1.3934,                 1.0336,                 1.0177,                0.77617,                0.73333,                0.80439,                0.50674,                0.73814,                0.68889,                 0.7548,                0.51828,                 1.2357,                  1.458,                 1.1229,                0.98368,               0.001802,               0.001802,               0.001802
                     12,                 1.1822,                  1.359,                  1.094,                  1.051,                0.79492,                0.75369,                0.82615,                0.55604,                0.86126,                0.61667,                 0.7683,                0.48361,                 1.2132,                 1.4264,                 1.0183,                0.98814,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1355,                 1.3005,                 1.0725,                 1.0212,                 0.8598,                0.74954,                0.81859,                0.57024,                 0.8027,                0.70068,                0.79362,                0.53604,                  1.156,                  1.409,                 1.0644,                0.97395,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0436,                 1.2339,                0.93898,                0.99879,                0.85776,                0.77056,                0.86187,                0.59084,                 0.8261,                0.70556,                0.79147,                0.50722,                  1.106,                 1.3988,                0.92178,                0.94989,              0.0017426,              0.0017426,              0.0017426
