                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1788,                 1.8315,                 2.0465,                 1.0903,                0.71721,                0.68341,                0.75326,                0.48726,                0.79423,                0.62403,                0.75131,                0.46044,                 1.0968,                 1.5729,                 1.4411,                 1.0616,             0.00066346,             0.00066346,             0.00066346
                      2,                 1.2217,                 1.6119,                  1.522,                 1.1148,                0.72034,                0.72455,                0.76929,                0.49085,                0.72606,                0.68263,                0.73786,                0.41834,                 1.1162,                 1.5969,                 1.3929,                  1.063,              0.0013082,              0.0013082,              0.0013082
                      3,                  1.226,                 1.6144,                 1.4654,                 1.1005,                0.74296,                0.68263,                0.75957,                0.48722,                0.69526,                0.67066,                0.69564,                0.42578,                 1.1045,                 1.4885,                 1.5739,                 1.1159,              0.0019309,              0.0019309,              0.0019309
                      4,                 1.1767,                 1.4571,                 1.3716,                 1.0927,                0.89655,                0.79042,                0.89168,                0.57983,                 0.8738,                 0.7485,                  0.854,                0.53462,                 1.0719,                 1.2247,                 1.2245,                 1.0688,               0.001901,               0.001901,               0.001901
                      5,                 1.1977,                 1.5379,                 1.4277,                 1.1273,                 0.8356,                 0.7006,                0.82692,                0.54462,                0.80659,                 0.7006,                0.79284,                0.51565,                 1.1233,                 1.4233,                 1.3664,                 1.0937,               0.001868,               0.001868,               0.001868
                      6,                  1.176,                 1.4768,                 1.3214,                 1.1097,                0.90501,                0.74169,                0.87718,                0.60883,                0.89633,                0.73653,                0.84942,                0.55495,                 1.0545,                 1.2854,                 1.1955,                  1.053,               0.001835,               0.001835,               0.001835
                      7,                 1.1209,                 1.2981,                 1.1812,                 1.0661,                0.86418,                0.80008,                0.87287,                0.60868,                0.82925,                0.77844,                0.83407,                0.55234,                0.98254,                  1.195,                 1.0305,                 1.0225,               0.001802,               0.001802,               0.001802
                      8,                 1.0852,                  1.364,                 1.1116,                 1.0472,                0.85591,                0.77844,                0.87833,                0.60524,                0.82356,                0.75466,                0.81698,                  0.492,                 1.0219,                 1.4091,                 1.0404,                 1.0212,               0.001769,               0.001769,               0.001769
                      9,                  1.087,                 1.3754,                 1.1218,                 1.0531,                0.87078,                0.76668,                 0.8548,                0.61299,                0.85663,                 0.7485,                0.82039,                0.56074,                0.96855,                 1.3432,                 1.0579,                0.99882,               0.001736,               0.001736,               0.001736
                     10,                 1.0507,                 1.3727,                 1.0677,                 1.0421,                0.85747,                0.78443,                0.89932,                0.62366,                0.79315,                0.72455,                0.84068,                0.57323,                0.97902,                 1.2547,                0.93558,                  1.017,               0.001703,               0.001703,               0.001703
                     11,                 1.0189,                 1.2726,                0.98055,                 1.0178,                0.89388,                0.80703,                 0.8993,                0.67723,                0.86135,                 0.7485,                 0.8508,                0.62044,                0.89449,                 1.2067,                0.87528,                0.97493,                0.00167,                0.00167,                0.00167
                     12,                0.98989,                 1.2474,                0.96916,                 1.0192,                0.83873,                0.84086,                0.90407,                0.64378,                0.85408,                0.79042,                0.87917,                0.58959,                0.98343,                 1.2789,                 0.8557,                  1.004,               0.001637,               0.001637,               0.001637
                     13,                 1.0165,                 1.2301,                0.92291,                 1.0054,                0.89495,                0.81626,                0.91371,                0.65462,                0.88345,                0.81437,                0.90234,                0.61644,                0.95246,                 1.1524,                0.91982,                0.99567,               0.001604,               0.001604,               0.001604
                     14,                0.97242,                 1.1585,                0.90244,                 1.0003,                0.86322,                0.83143,                0.90617,                0.66771,                0.85111,                0.81437,                0.88515,                0.61397,                0.91455,                 1.1799,                 0.8323,                 0.9944,               0.001571,               0.001571,               0.001571
                     15,                0.96297,                 1.0829,                0.86548,                0.99207,                0.90034,                0.83234,                0.92517,                0.67276,                0.83947,                0.77844,                0.86916,                0.58329,                0.92869,                 1.1108,                0.82706,                0.97087,               0.001538,               0.001538,               0.001538
                     16,                0.94456,                 1.1721,                0.87151,                0.97878,                0.84315,                0.88623,                0.92655,                0.68703,                0.82003,                0.86228,                0.88643,                 0.5927,                0.92167,                 1.1167,                0.77218,                0.99502,               0.001505,               0.001505,               0.001505
                     17,                0.93878,                 1.1803,                0.85976,                 0.9772,                 0.9066,                0.87425,                0.94578,                0.72274,                0.90961,                0.82036,                0.91609,                0.64394,                0.83601,                 1.0291,                0.73267,                0.93605,               0.001472,               0.001472,               0.001472
                     18,                0.86742,                 1.1022,                0.78636,                0.95931,                0.85936,                0.87811,                0.93379,                0.70991,                0.92436,                0.79042,                0.90662,                0.63489,                0.86415,                0.98601,                0.73934,                0.94809,               0.001439,               0.001439,               0.001439
                     19,                0.90622,                 1.1328,                0.80745,                0.96042,                0.90831,                0.83832,                0.92959,                0.72116,                0.90792,                0.82663,                0.90367,                 0.6692,                0.82438,                 1.0578,                0.69629,                0.91339,               0.001406,               0.001406,               0.001406
                     20,                0.89217,                 1.0735,                0.79255,                0.96276,                0.89025,                0.88024,                0.95623,                0.73529,                0.92437,                0.80508,                0.91879,                 0.6178,                0.80203,                  1.085,                0.69346,                0.93256,               0.001373,               0.001373,               0.001373
                     21,                0.87002,                 1.0544,                0.77718,                0.97322,                0.95123,                 0.8503,                 0.9505,                0.72211,                0.93272,                0.83019,                0.92512,                0.66428,                0.80647,                 1.0739,                0.66987,                0.94352,                0.00134,                0.00134,                0.00134
                     22,                0.86221,                 1.0359,                0.75142,                0.94685,                0.88735,                0.88623,                0.94318,                0.71942,                0.83842,                0.83894,                 0.8875,                0.61519,                0.81372,                 1.0118,                0.64091,                0.94615,               0.001307,               0.001307,               0.001307
                     23,                0.82484,                 0.9784,                0.71805,                0.94964,                0.86993,                0.88112,                0.93223,                0.72727,                0.93921,                 0.8024,                0.91302,                0.63998,                0.77899,                 1.0389,                0.63722,                0.91728,               0.001274,               0.001274,               0.001274
