                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1468,                 1.5616,                 2.7853,                 1.0516,                0.95086,                0.47368,                0.72325,                0.50576,                0.95086,                0.47368,                0.74111,                 0.5153,                0.84591,                 1.1947,                 2.5822,                0.81995,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.1883,                 1.6429,                 1.8352,                 1.0751,                0.71357,                0.78685,                0.70707,                0.42751,                0.78579,                0.77292,                0.74262,                0.54822,                0.91926,                 2.0441,                 1.8051,                0.87095,              0.0012941,              0.0012941,              0.0012941
                      3,                 1.1273,                 1.5827,                 1.7782,                 1.0951,                 0.7065,                0.68421,                0.65155,                0.42744,                0.56415,                0.68421,                0.53354,                0.18008,                 1.0833,                  3.647,                 1.5807,                 1.0214,               0.001917,               0.001917,               0.001917
                      4,                 1.1016,                 1.3479,                 1.4522,                  1.076,                0.94442,                0.89439,                0.96749,                0.67353,                0.94442,                0.89439,                0.96749,                0.73484,                0.97242,                  1.233,                 1.2416,                0.97414,               0.001901,               0.001901,               0.001901
                      5,                 1.1706,                 1.2003,                 1.4395,                 1.1348,                0.98622,                0.84211,                0.97638,                0.74315,                0.98622,                0.84211,                0.97638,                0.79977,                0.92433,                 1.0765,                  1.154,                0.90994,               0.001868,               0.001868,               0.001868
                      6,                  1.228,                 1.2878,                 1.4662,                 1.1053,                0.93647,                0.94737,                0.97755,                0.71197,                0.93647,                0.94737,                0.97755,                 0.7757,                 1.0506,                 1.4015,                 1.1887,                0.97219,               0.001835,               0.001835,               0.001835
                      7,                 1.0944,                 1.1013,                 1.2845,                 1.0509,                0.99131,                0.94737,                0.97776,                0.77028,                0.99131,                0.94737,                0.97776,                 0.7318,                 0.8289,                 0.9577,                 1.0397,                0.84081,               0.001802,               0.001802,               0.001802
                      8,                 1.1198,                 1.0354,                 1.2334,                 1.0969,                0.83769,                0.94737,                0.95009,                0.71125,                0.83769,                0.94737,                0.95009,                0.71154,                0.86584,                 1.1607,                 1.1286,                0.88888,               0.001769,               0.001769,               0.001769
                      9,                  1.052,                0.97032,                 1.2457,                 1.0305,                0.84752,                      1,                0.97455,                0.72899,                0.84752,                      1,                0.97455,                0.71785,                0.90449,                 1.0969,                 1.2381,                0.91632,               0.001736,               0.001736,               0.001736
                     10,                 1.0239,                0.90985,                 1.1193,                 1.0512,                      1,                0.99356,                  0.995,                0.76231,                      1,                0.99356,                  0.995,                0.79348,                0.79293,                0.78873,                 1.0912,                 0.8699,               0.001703,               0.001703,               0.001703
                     11,                 1.1008,                0.94191,                 1.2167,                 1.0797,                0.99449,                0.94737,                0.99024,                0.81267,                0.99449,                0.94737,                0.99024,                0.79228,                0.79458,                0.86962,                 1.0202,                0.85944,                0.00167,                0.00167,                0.00167
                     12,                  1.001,                 1.0655,                 1.2061,                   1.03,                 0.9278,                      1,                   0.99,                0.70849,                 0.9278,                      1,                   0.99,                0.76608,                 0.9444,                 1.0537,                 1.1469,                0.92597,               0.001637,               0.001637,               0.001637
                     13,                 0.9807,                0.78273,                  1.132,                 1.0265,                0.94974,                0.99472,                 0.9925,                0.79396,                0.94974,                0.99472,                 0.9925,                0.84735,                0.81616,                0.83026,                0.92846,                0.88463,               0.001604,               0.001604,               0.001604
                     14,                0.97056,                0.87814,                 1.1194,                 1.0384,                0.99014,                      1,                  0.995,                 0.7981,                0.99014,                      1,                  0.995,                0.79662,                0.81958,                 1.0691,                0.86926,                0.87142,               0.001571,               0.001571,               0.001571
