                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0878,                 1.7317,                 2.1039,                 1.1081,                0.79739,                  0.726,                0.75889,                0.52514,                0.79739,                  0.726,                0.76201,                0.49219,                 1.0197,                 1.6304,                 1.4889,                  1.097,             0.00066162,             0.00066162,             0.00066162
                      2,                 1.0567,                 1.4861,                 1.3555,                 1.0882,                0.73392,                 0.6699,                0.69356,                0.49045,                0.73392,                 0.6699,                0.69602,                0.50545,                 1.0898,                 1.5644,                 1.5646,                 1.1839,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.1497,                 1.4957,                 1.3413,                 1.1493,                0.77724,                0.61165,                0.69708,                0.49293,                0.74964,                0.61165,                0.69303,                0.47598,                  1.034,                 1.8191,                 1.5694,                 1.1893,              0.0019291,              0.0019291,              0.0019291
                      4,                 1.0768,                 1.4787,                 1.2953,                 1.1075,                0.76214,                0.75728,                0.77452,                0.56335,                0.78168,                 0.7767,                0.79461,                 0.5874,                 1.0827,                 1.4309,                 1.2966,                 1.1467,               0.001901,               0.001901,               0.001901
                      5,                 1.1068,                 1.4701,                 1.2938,                 1.1165,                0.86201,                0.66716,                0.79308,                0.57661,                0.87226,                0.71845,                0.82168,                0.56344,                  1.012,                 1.7166,                  1.296,                 1.1155,               0.001868,               0.001868,               0.001868
                      6,                 1.1596,                 1.4303,                 1.2768,                 1.1644,                 0.8539,                0.73786,                0.85227,                0.63294,                0.88628,                0.71845,                0.85156,                0.60279,                0.99664,                 1.5309,                 1.1737,                 1.0977,               0.001835,               0.001835,               0.001835
                      7,                 1.0252,                  1.358,                 1.1779,                 1.0908,                0.90969,                0.78239,                0.85712,                0.66313,                0.92098,                 0.7921,                0.87177,                0.63417,                0.88162,                 1.4644,                 1.0916,                 1.0242,               0.001802,               0.001802,               0.001802
                      8,                0.96661,                 1.2566,                 1.0669,                 1.0511,                0.96348,                0.76836,                0.87792,                0.64355,                0.96348,                0.76836,                0.87765,                0.66184,                0.95168,                 1.3656,                 1.0171,                 1.0478,               0.001769,               0.001769,               0.001769
                      9,                0.98157,                 1.2844,                 1.0047,                 1.0448,                0.96564,                0.79612,                0.84575,                0.64667,                0.93538,                0.84321,                0.87426,                0.64957,                0.93891,                 1.2682,                 1.0207,                 1.1043,               0.001736,               0.001736,               0.001736
                     10,                 0.9598,                 1.2471,                0.95677,                 1.0496,                0.96994,                0.74757,                0.85633,                0.65598,                0.96994,                0.74757,                0.86591,                 0.6589,                0.90874,                 1.2516,                0.98063,                  1.086,               0.001703,               0.001703,               0.001703
                     11,                0.93358,                 1.1349,                0.96291,                 1.0359,                0.96867,                0.80583,                0.88397,                0.68639,                0.96867,                0.80583,                0.88323,                0.68642,                 0.9088,                 1.2732,                0.91365,                  1.066,                0.00167,                0.00167,                0.00167
                     12,                0.92722,                 1.1085,                0.88979,                 1.0512,                0.92217,                0.80526,                 0.8729,                0.69053,                0.93329,                0.81497,                 0.8845,                0.66475,                0.87323,                 1.2712,                0.90755,                 1.0741,               0.001637,               0.001637,               0.001637
                     13,                0.92786,                 1.0966,                0.87189,                  1.044,                0.96352,                0.78641,                0.87842,                0.69213,                0.97437,                 0.7767,                0.87092,                0.69753,                0.85872,                 1.3183,                0.90364,                 1.0181,               0.001604,               0.001604,               0.001604
                     14,                 0.9393,                 1.1499,                0.96272,                 1.0201,                0.96231,                0.80583,                 0.9022,                0.70299,                0.96231,                0.80583,                0.90968,                0.67264,                0.84931,                 1.4032,                0.92852,                 1.0525,               0.001571,               0.001571,               0.001571
                     15,                0.85245,                 1.0857,                0.85092,                  1.011,                0.93691,                0.81553,                0.90321,                0.69808,                0.93122,                0.81553,                 0.9046,                0.67565,                0.84076,                 1.2885,                0.85335,                 1.0287,               0.001538,               0.001538,               0.001538
                     16,                0.88635,                 1.1138,                0.85053,                 1.0223,                0.93165,                  0.794,                0.86754,                 0.6878,                0.94303,                0.80355,                0.87696,                0.67284,                0.86941,                 1.2726,                0.92023,                 1.0143,               0.001505,               0.001505,               0.001505
                     17,                0.83749,                 1.1122,                0.80915,                0.98504,                0.91551,                 0.8416,                0.88045,                0.71135,                0.91551,                 0.8416,                0.88044,                0.69734,                0.77499,                 1.1887,                0.89681,                0.98171,               0.001472,               0.001472,               0.001472
                     18,                0.88677,                  1.035,                0.82239,                 1.0295,                0.90729,                0.83495,                0.88768,                0.69146,                0.90729,                0.83495,                0.88849,                0.69022,                0.81029,                 1.0711,                0.81428,                 1.0034,               0.001439,               0.001439,               0.001439
                     19,                0.85854,                  1.162,                0.83001,                0.99935,                0.96567,                0.83495,                0.91857,                0.72739,                0.96567,                0.83495,                0.91232,                0.73463,                0.80326,                 1.1303,                0.77425,                 1.0169,               0.001406,               0.001406,               0.001406
                     20,                0.87924,                 1.0222,                0.77599,                 1.0149,                0.94731,                0.87379,                0.93117,                0.73493,                0.95414,                 0.8835,                0.92291,                 0.7209,                0.81384,                 1.0954,                0.74619,                0.98582,               0.001373,               0.001373,               0.001373
                     21,                0.85236,                 1.0173,                0.75993,                0.99908,                0.97354,                0.82524,                0.91256,                0.73497,                0.97354,                0.82524,                 0.9147,                0.74274,                0.79948,                 1.1179,                0.79515,                0.97602,                0.00134,                0.00134,                0.00134
                     22,                0.78552,                0.91784,                0.74276,                0.96593,                0.97647,                0.80579,                0.89171,                0.72287,                0.97647,                0.80579,                0.88654,                0.71317,                0.78277,                 1.1884,                0.82446,                 1.0154,               0.001307,               0.001307,               0.001307
                     23,                0.75872,                 0.9412,                0.71048,                 0.9633,                0.97982,                0.80583,                0.91275,                0.74466,                0.97982,                0.80583,                0.90808,                0.73767,                0.74535,                 1.1808,                0.72955,                0.97814,               0.001274,               0.001274,               0.001274
                     24,                0.77203,                0.97484,                0.69935,                0.96601,                0.93682,                0.86372,                0.91684,                0.76005,                0.93682,                0.86372,                0.91518,                0.73435,                0.73425,                  1.029,                0.73447,                0.94492,               0.001241,               0.001241,               0.001241
                     25,                0.80298,                  1.064,                0.72229,                 0.9855,                0.91556,                0.90291,                0.93162,                0.76328,                0.91556,                0.90291,                0.93059,                0.73928,                 0.7171,                 1.1215,                0.71723,                0.96673,               0.001208,               0.001208,               0.001208
                     26,                0.73283,                0.95132,                0.66833,                0.95294,                0.95519,                0.82782,                0.92495,                0.76781,                0.95519,                0.82782,                0.92874,                0.74263,                 0.7108,                 1.1881,                0.73618,                0.97949,               0.001175,               0.001175,               0.001175
                     27,                0.77929,                0.92545,                0.68059,                0.98075,                0.90939,                0.87696,                0.93157,                0.75964,                0.90939,                0.87696,                0.93103,                0.76251,                0.73135,                 1.1326,                 0.6888,                0.96542,               0.001142,               0.001142,               0.001142
                     28,                0.75173,                0.87375,                0.65908,                0.95328,                0.94748,                0.87582,                0.92685,                0.76513,                0.94748,                0.87582,                 0.9262,                 0.7766,                0.69598,                 0.9489,                0.65594,                0.92074,               0.001109,               0.001109,               0.001109
                     29,                 0.7672,                0.90334,                0.69189,                0.96174,                0.96688,                0.85044,                0.92002,                0.76743,                0.97792,                0.86005,                 0.9325,                0.76807,                 0.6917,                0.91352,                0.63697,                0.94237,               0.001076,               0.001076,               0.001076
                     30,                0.74894,                0.93428,                 0.6753,                0.94471,                  0.984,                0.86408,                0.93072,                 0.7639,                  0.984,                0.86408,                0.92958,                0.75995,                0.72541,                 1.0535,                0.67352,                0.95547,               0.001043,               0.001043,               0.001043
                     31,                 0.6928,                0.84693,                0.61464,                0.93713,                0.98676,                0.86408,                0.93186,                0.78613,                0.98676,                0.86408,                0.92647,                0.78404,                0.67213,                  1.014,                0.63971,                0.92324,                0.00101,                0.00101,                0.00101
                     32,                0.69788,                0.86254,                0.63338,                0.94857,                 0.9891,                0.88075,                0.93508,                0.78934,                 0.9891,                0.88075,                0.93863,                0.76422,                0.65809,                0.93498,                 0.6128,                 0.9261,               0.000977,               0.000977,               0.000977
