                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8822,                 2.6684,                 2.7613,                 1.3035,                0.76112,                   0.95,                0.96267,                0.73173,                0.72953,                 0.9184,                0.92864,                0.62407,                 1.2537,                 1.8387,                 0.6755,                 1.1772,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 1.0324,                 2.0237,                 2.6145,                 1.3192,                0.82923,                0.96536,                0.97585,                0.73479,                0.76196,                0.90249,                0.92964,                0.62657,                 1.2542,                 1.8225,                0.67155,                  1.178,             3.4522e-06,             3.4522e-06,             3.4522e-06
                      3,                0.71281,                 1.8564,                 2.3914,                 1.1451,                0.82923,                0.96536,                0.97585,                0.73479,                0.76196,                0.90249,                0.92964,                0.62657,                 1.2542,                 1.8225,                0.67155,                  1.178,             5.5573e-06,             5.5573e-06,             5.5573e-06
                      4,                0.95501,                 2.4121,                 1.9723,                 1.2158,                0.82172,                0.96667,                0.97724,                0.73779,                0.75259,                0.89673,                0.93446,                0.62839,                 1.2571,                 1.8191,                0.65049,                 1.1868,             7.5053e-06,             7.5053e-06,             7.5053e-06
                      5,                 1.0549,                 2.2917,                 3.2694,                 1.3975,                0.82172,                0.96667,                0.97724,                0.73779,                0.75259,                0.89673,                0.93446,                0.62839,                 1.2571,                 1.8191,                0.65049,                 1.1868,             9.2963e-06,             9.2963e-06,             9.2963e-06
                      6,                 1.0104,                 3.3335,                 3.6115,                 1.4288,                0.84537,                0.94288,                0.97722,                0.73359,                0.76897,                0.90526,                0.94945,                 0.6348,                 1.2514,                 1.8398,                0.64717,                 1.2011,              1.093e-05,              1.093e-05,              1.093e-05
                      7,                0.65992,                 1.9969,                 1.0761,                  1.085,                0.84537,                0.94288,                0.97722,                0.73359,                0.76897,                0.90526,                0.94945,                 0.6348,                 1.2514,                 1.8398,                0.64717,                 1.2011,             1.2407e-05,             1.2407e-05,             1.2407e-05
                      8,                0.86048,                 1.7827,                 2.3855,                 1.2055,                0.84537,                0.94288,                0.97722,                0.73359,                0.76897,                0.90526,                0.94945,                 0.6348,                 1.2514,                 1.8398,                0.64717,                 1.2011,             1.3727e-05,             1.3727e-05,             1.3727e-05
                      9,                0.80716,                  2.182,                 1.8575,                 1.2147,                0.84236,                0.94472,                0.97014,                0.73827,                0.86109,                0.81119,                0.92527,                0.64114,                 1.2317,                 1.8642,                0.66262,                 1.2103,             1.4889e-05,             1.4889e-05,             1.4889e-05
                     10,                0.68016,                 1.9328,                 1.9781,                  1.111,                0.84236,                0.94472,                0.97014,                0.73827,                0.86109,                0.81119,                0.92527,                0.64114,                 1.2317,                 1.8642,                0.66262,                 1.2103,             1.5895e-05,             1.5895e-05,             1.5895e-05
                     11,                0.79401,                 1.9057,                 1.9565,                 1.1944,                0.84236,                0.94472,                0.97014,                0.73827,                0.86109,                0.81119,                0.92527,                0.64114,                 1.2317,                 1.8642,                0.66262,                 1.2103,             1.6743e-05,             1.6743e-05,             1.6743e-05
                     12,                0.62563,                 1.9313,                 1.4088,                 1.0663,                0.84236,                0.94472,                0.97014,                0.73827,                0.86109,                0.81119,                0.92527,                0.64114,                 1.2317,                 1.8642,                0.66262,                 1.2103,             1.7435e-05,             1.7435e-05,             1.7435e-05
                     13,                0.70072,                 1.9183,                 1.2076,                 1.0124,                0.83605,                0.91734,                0.96756,                0.72317,                0.88228,                0.81778,                0.89403,                 0.6398,                 1.2256,                 1.8848,                0.71084,                 1.2128,             1.7969e-05,             1.7969e-05,             1.7969e-05
                     14,                0.74451,                 1.9977,                 1.8153,                 1.2598,                0.83605,                0.91734,                0.96756,                0.72317,                0.88228,                0.81778,                0.89403,                 0.6398,                 1.2256,                 1.8848,                0.71084,                 1.2128,             1.8346e-05,             1.8346e-05,             1.8346e-05
                     15,                0.60857,                 1.4357,                 1.1448,                 1.0145,                0.83605,                0.91734,                0.96756,                0.72317,                0.88228,                0.81778,                0.89403,                 0.6398,                 1.2256,                 1.8848,                0.71084,                 1.2128,             1.8566e-05,             1.8566e-05,             1.8566e-05
                     16,                0.53567,                 1.6414,                  1.459,                 1.0673,                0.83605,                0.91734,                0.96756,                0.72317,                0.88228,                0.81778,                0.89403,                 0.6398,                 1.2256,                 1.8848,                0.71084,                 1.2128,             1.8629e-05,             1.8629e-05,             1.8629e-05
                     17,                0.71828,                 2.0913,                 1.7925,                  1.094,                0.83605,                0.91734,                0.96756,                0.72317,                0.88228,                0.81778,                0.89403,                 0.6398,                 1.2256,                 1.8848,                0.71084,                 1.2128,             1.8535e-05,             1.8535e-05,             1.8535e-05
                     18,                0.63889,                 2.0212,                 1.2336,                0.99957,                0.83605,                0.91734,                0.96756,                0.72317,                0.88228,                0.81778,                0.89403,                 0.6398,                 1.2256,                 1.8848,                0.71084,                 1.2128,             1.8284e-05,             1.8284e-05,             1.8284e-05
                     19,                 0.7366,                 1.6379,                 1.1475,                 1.0151,                0.82867,                0.91358,                0.96837,                 0.7183,                0.85268,                0.82677,                0.88097,                0.61484,                 1.2179,                 1.9348,                0.79859,                 1.2193,             1.7876e-05,             1.7876e-05,             1.7876e-05
                     20,                0.89846,                 1.5439,                 1.4498,                 1.1612,                0.82867,                0.91358,                0.96837,                 0.7183,                0.85268,                0.82677,                0.88097,                0.61484,                 1.2179,                 1.9348,                0.79859,                 1.2193,             1.7311e-05,             1.7311e-05,             1.7311e-05
                     21,                0.71017,                 1.8089,                 1.1134,                  1.067,                0.82867,                0.91358,                0.96837,                 0.7183,                0.85268,                0.82677,                0.88097,                0.61484,                 1.2179,                 1.9348,                0.79859,                 1.2193,             1.6589e-05,             1.6589e-05,             1.6589e-05
                     22,                0.52755,                 1.4702,                0.74792,                 1.0319,                0.82867,                0.91358,                0.96837,                 0.7183,                0.85268,                0.82677,                0.88097,                0.61484,                 1.2179,                 1.9348,                0.79859,                 1.2193,             1.5709e-05,             1.5709e-05,             1.5709e-05
