                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74807,                 1.0594,                 1.9178,                 1.0356,                0.00911,                0.68421,                0.00785,                0.00566,                0.00901,                0.63158,                0.00808,                0.00498,                0.81757,                 3.2554,                 925.64,                 1.2111,             0.00064912,             0.00064912,             0.00064912
                      2,                0.96523,                 1.3548,                 6.1835,                 1.2562,                0.02229,                0.10526,                0.00448,                0.00311,                0.02583,                0.15789,                0.01127,                0.00669,                 1.2813,                 4.4794,                 9.6518,                 1.5844,              0.0012724,              0.0012724,              0.0012724
                      3,                 1.6829,                 1.8396,                 3.7251,                 1.7402,                0.01097,                0.31579,                0.01053,                0.00266,                0.01097,                0.31579,                0.00479,                0.00099,                 3.4402,                 605.25,                 1301.4,                 91.486,              0.0018516,              0.0018516,              0.0018516
                      4,                 1.8826,                 2.2611,                  3.407,                 1.8811,                0.01097,                0.31579,                0.01053,                0.00266,                0.01097,                0.31579,                0.00479,                0.00099,                 2.6437,                  2.819,                 7.5188,                 3.3156,               0.001802,               0.001802,               0.001802
                      5,                 1.7459,                 1.9516,                 3.3551,                 1.8594,                0.03088,                0.10526,                0.02813,                0.00675,                0.01645,                0.05263,                0.01779,                0.00623,                 2.0176,                 3.7715,                 5.3163,                 2.6096,               0.001736,               0.001736,               0.001736
                      6,                 1.7589,                 1.7566,                  2.823,                 1.8223,                0.02938,                0.47368,                0.03006,                0.01702,                0.03612,                0.42105,                0.02345,                0.00832,                 1.5128,                 5.0089,                 3.4648,                 2.1193,                0.00167,                0.00167,                0.00167
                      7,                 1.4251,                 1.7672,                 2.2646,                 1.6218,                0.02767,                0.36842,                0.02717,                0.01049,                0.02767,                0.36842,                0.02806,                0.01226,                 1.9325,                 2.3891,                 26.389,                 2.3639,               0.001604,               0.001604,               0.001604
                      8,                 1.4098,                 1.2194,                 2.0289,                 1.6134,                0.40854,                0.36842,                0.29236,                0.16889,                0.36156,                0.42105,                0.31682,                0.17149,                 1.4086,                 1.4186,                  3.235,                 1.7305,               0.001538,               0.001538,               0.001538
                      9,                 1.2414,                 1.1515,                 2.0139,                 1.4951,                0.01259,                0.15789,                0.00902,                0.00534,                0.03988,                0.15789,                0.03159,                0.00861,                 2.1541,                 2.3154,                 40.844,                 3.0218,               0.001472,               0.001472,               0.001472
                     10,                 1.4869,                 1.1952,                  1.884,                 1.6454,                0.14292,                0.36842,                0.12354,                0.07349,                0.14292,                0.36842,                0.12747,                0.08173,                 1.6269,                 2.3167,                  8.221,                 1.9319,               0.001406,               0.001406,               0.001406
                     11,                  1.407,                 1.1192,                 1.7333,                 1.5409,                0.39327,                0.31579,                0.32527,                0.21165,                0.39327,                0.31579,                0.32743,                0.22475,                  1.158,                 2.7413,                 4.3393,                 1.5415,                0.00134,                0.00134,                0.00134
                     12,                 1.3169,                0.81168,                 1.6628,                 1.4753,                0.58704,                0.63158,                0.69074,                0.44808,                0.58704,                0.63158,                0.69074,                0.49318,                 1.0856,                 1.0012,                 3.1407,                 1.5303,               0.001274,               0.001274,               0.001274
                     13,                 1.2371,                0.89147,                 1.5044,                 1.4707,                0.93483,                0.75579,                0.90032,                0.57318,                0.93483,                0.75579,                0.90032,                0.60298,                0.91503,                 0.6708,                 2.2382,                 1.3631,               0.001208,               0.001208,               0.001208
